hw/xfree86/shadowfb/sfbmodule.c	no recognizable license text
hw/xfree86/shadowfb/shadowfb.c	no recognizable license text
hw/xfree86/vgahw/vgaHW.c	no recognizable license text
hw/xfree86/vgahw/vgaHWmodule.c	no recognizable license text
hw/xfree86/xkb/xkbKillSrv.c	X11/HPND no-sell variant — manual (X11 vs HPND vs MIT-open-group)
hw/xfree86/xkb/xkbPrivate.c	no recognizable license text
hw/xfree86/xkb/xkbVT.c	X11/HPND no-sell variant — manual (X11 vs HPND vs MIT-open-group)
hw/xnest/xkb.c	no recognizable license text
hw/xquartz/NSUserDefaults+XQuartzDefaults.h	no recognizable license text
hw/xquartz/keysym2ucs.c	no recognizable license text
hw/xquartz/keysym2ucs.h	no recognizable license text
hw/xquartz/mach-startup/mach_startup_types.h	no recognizable license text
hw/xquartz/pbproxy/trick_autotools.c	no recognizable license text
hw/xquartz/sanitizedCarbon.h	no recognizable license text
hw/xquartz/sanitizedCocoa.h	no recognizable license text
hw/xwin/ddraw.h	no recognizable license text
hw/xwin/glx/winpriv.c	no recognizable license text
hw/xwin/glx/winpriv.h	no recognizable license text
hw/xwin/os-compat.h	no recognizable license text
hw/xwin/winmessages.h	no recognizable license text
include/compiler.h	multi-license: Historical Permission Notice and Disclaimer - sell variant and/or MIT License
include/dgaproc.h	no recognizable license text
include/displaymode.h	no recognizable license text
include/dixaccess.h	no recognizable license text
include/dixfont.h	X11/HPND no-sell variant — manual (X11 vs HPND vs MIT-open-group)
include/dixfontstr.h	X11/HPND no-sell variant — manual (X11 vs HPND vs MIT-open-group)
include/dixstruct.h	X11/HPND no-sell variant — manual (X11 vs HPND vs MIT-open-group)
include/edid.h	no recognizable license text
include/exevents.h	X11/HPND no-sell variant — manual (X11 vs HPND vs MIT-open-group)
include/extension.h	multi-license: MIT License and/or MIT Open Group variant
include/fbdevhw.h	no recognizable license text
include/globals.h	no recognizable license text
include/i2c_def.h	no recognizable license text
include/micmap.h	no recognizable license text
include/mioverlay.h	no recognizable license text
include/misc.h	multi-license: Historical Permission Notice and Disclaimer - sell variant and/or MIT Open Group variant and/or NTP License (legal disclaimer)
include/optionstr.h	no recognizable license text
include/privates.h	no recognizable license text
include/shadowfb.h	no recognizable license text
include/vbe.h	no recognizable license text
include/vgaHW.h	no recognizable license text
include/vidmodestr.h	no recognizable license text
include/wfbrename.h	no recognizable license text
include/xaarop.h	no recognizable license text
include/xf86Cursor.h	no recognizable license text
include/xf86DDC.h	no recognizable license text
include/xf86Xinput.h	multi-license: Historical Permission Notice and Disclaimer - sell variant and/or MIT License
include/xf86i2c.h	no recognizable license text
include/xf86int10.h	no recognizable license text
include/xkbrules.h	X11/HPND no-sell variant — manual (X11 vs HPND vs MIT-open-group)
include/xkbsrv.h	X11/HPND no-sell variant — manual (X11 vs HPND vs MIT-open-group)
include/xkbstr.h	X11/HPND no-sell variant — manual (X11 vs HPND vs MIT-open-group)
include/xvdix.h	X11/HPND no-sell variant — manual (X11 vs HPND vs MIT-open-group)
include/xvmcext.h	no recognizable license text
mi/miinitext.c	multi-license: MIT License and/or MIT Open Group variant
mi/miinitext.h	multi-license: MIT License and/or MIT Open Group variant
mi/mioverlay.c	no recognizable license text
miext/rootless/rootlessValTree.c	multi-grant (MIT + X11/HPND blocks) — manual
os/auth.h	no recognizable license text
os/mitauth.h	no recognizable license text
os/xdmauth.h	no recognizable license text
os/xdmcp.h	no recognizable license text
os/xsha1.h	no recognizable license text
pseudoramiX/pseudoramiX.h	no recognizable license text
randr/rrxinerama.c	multi-license: BSD 3-Clause License and/or Historical Permission Notice and Disclaimer - sell variant and/or NTP License (legal disclaimer)
test/bugs/bug1354.c	no recognizable license text
test/hashtabletest.c	no recognizable license text
test/tests-common.c	no recognizable license text
test/tests-common.h	no recognizable license text
test/tests.c	no recognizable license text
test/tests.h	no recognizable license text
xkb/XKBAlloc.c	X11/HPND no-sell variant — manual (X11 vs HPND vs MIT-open-group)
xkb/XKBGAlloc.c	X11/HPND no-sell variant — manual (X11 vs HPND vs MIT-open-group)
xkb/XKBMAlloc.c	X11/HPND no-sell variant — manual (X11 vs HPND vs MIT-open-group)
xkb/XKBMisc.c	X11/HPND no-sell variant — manual (X11 vs HPND vs MIT-open-group)
xkb/ddxBeep.c	X11/HPND no-sell variant — manual (X11 vs HPND vs MIT-open-group)
xkb/ddxCtrls.c	X11/HPND no-sell variant — manual (X11 vs HPND vs MIT-open-group)
xkb/ddxKillSrv.c	X11/HPND no-sell variant — manual (X11 vs HPND vs MIT-open-group)
xkb/ddxLEDs.c	X11/HPND no-sell variant — manual (X11 vs HPND vs MIT-open-group)
xkb/ddxLoad.c	X11/HPND no-sell variant — manual (X11 vs HPND vs MIT-open-group)
xkb/ddxPrivate.c	no recognizable license text
xkb/ddxVT.c	X11/HPND no-sell variant — manual (X11 vs HPND vs MIT-open-group)
xkb/maprules.c	X11/HPND no-sell variant — manual (X11 vs HPND vs MIT-open-group)
xkb/xkb-procs.h	no recognizable license text
xkb/xkb.c	X11/HPND no-sell variant — manual (X11 vs HPND vs MIT-open-group)
xkb/xkbAccessX.c	X11/HPND no-sell variant — manual (X11 vs HPND vs MIT-open-group)
xkb/xkbActions.c	X11/HPND no-sell variant — manual (X11 vs HPND vs MIT-open-group)
xkb/xkbDflts.h	no recognizable license text
xkb/xkbEvents.c	X11/HPND no-sell variant — manual (X11 vs HPND vs MIT-open-group)
xkb/xkbInit.c	X11/HPND no-sell variant — manual (X11 vs HPND vs MIT-open-group)
xkb/xkbLEDs.c	X11/HPND no-sell variant — manual (X11 vs HPND vs MIT-open-group)
xkb/xkbPrKeyEv.c	X11/HPND no-sell variant — manual (X11 vs HPND vs MIT-open-group)
xkb/xkbUtils.c	multi-grant (MIT + X11/HPND blocks) — manual
xkb/xkbfmisc.c	X11/HPND no-sell variant — manual (X11 vs HPND vs MIT-open-group)
xkb/xkbgeom_priv.h	X11/HPND no-sell variant — manual (X11 vs HPND vs MIT-open-group)
xkb/xkbout.c	X11/HPND no-sell variant — manual (X11 vs HPND vs MIT-open-group)
xkb/xkbtext.c	X11/HPND no-sell variant — manual (X11 vs HPND vs MIT-open-group)
xkb/xkmread.c	X11/HPND no-sell variant — manual (X11 vs HPND vs MIT-open-group)
